Instancia,Algoritmo,Tiempo de Cómputo,Objetivo,Z1,Z2,Z3,Z4
Data_40_Salidas_composición_zonas_heterogéneas.xlsx,greedy,0.00019119999888062011,87.66620715753055,402.6825062168884,315.01629905935783,,
Data_40_Salidas_composición_zonas_heterogéneas.xlsx,grasp,0.059960399999908987,73.49954049086409,395.5991728835552,322.0996323926911,,
Data_40_Salidas_composición_zonas_heterogéneas.xlsx,simulated_annealing,11.370626600000833,0.0004595091361352388,358.84917288355547,358.8496323926916,,
Data_40_Salidas_composición_zonas_heterogéneas.xlsx,local_beam_search,3.859903700000359,0.00045950913624892564,358.84917288355496,358.8496323926912,,
Data_40_Salidas_composición_zonas_heterogéneas.xlsx,brkga,5.367320699999254,0.3337928424694496,358.6825062168884,359.01629905935783,,
Data_60_Salidas_composición_zonas_heterogéneas.xlsx,greedy,0.0008493999994243495,113.62779759974052,429.8107633257649,316.1829657260244,418.9774299924316,
Data_60_Salidas_composición_zonas_heterogéneas.xlsx,grasp,0.2885502000008273,62.68866904530228,410.78830143799337,348.0996323926911,406.1030111363392,
Data_60_Salidas_composición_zonas_heterogéneas.xlsx,simulated_annealing,7.620595999998841,0.14571845604899636,388.45077846253645,388.43296572602344,388.30506000648745,
Data_60_Salidas_composición_zonas_heterogéneas.xlsx,local_beam_search,7.767933400000402,69.27200237863553,411.3925829819441,342.18296572602446,411.45496810466,
Data_60_Salidas_composición_zonas_heterogéneas.xlsx,brkga,10.922737100001541,6.268623634987534,385.7696778030058,387.18296572602435,392.0383014379933,
Data_80_Salidas_composición_zonas_heterogéneas.xlsx,greedy,0.0006123999992269091,137.41620715753066,441.84917288355507,314.84963239269115,434.9325062168884,304.4329657260244
Data_80_Salidas_composición_zonas_heterogéneas.xlsx,grasp,0.11331830000017362,78.41620715753066,413.09917288355507,335.01629905935766,413.18250621688844,334.7662990593578
Data_80_Salidas_composición_zonas_heterogéneas.xlsx,simulated_annealing,82.41621490000034,0.0004595091367605164,374.0158395502214,374.0162990593582,374.0158395502214,374.01629905935755
Data_80_Salidas_composición_zonas_heterogéneas.xlsx,local_beam_search,17.25394789999882,0.00045950913624892564,374.0158395502216,374.01629905935783,374.0158395502217,374.01629905935766
Data_80_Salidas_composición_zonas_heterogéneas.xlsx,brkga,18.049524300000485,39.33287382419729,392.0991728835551,352.76629905935783,387.34917288355507,363.84963239269103
