Instancia,Algoritmo,Tiempo de Cómputo,Objetivo,Z1,Z2,Z3,Z4
Data_40_Salidas_composición_zonas_homogéneas.xlsx,greedy,0.00018350000027567148,16.583333333333258,350.0828738241973,366.66620715753055,,
Data_40_Salidas_composición_zonas_homogéneas.xlsx,grasp,0.05758779999996477,5.25,360.9995404908639,355.7495404908639,,
Data_40_Salidas_composición_zonas_homogéneas.xlsx,simulated_annealing,9.807353800000783,0.08333333333274595,358.3328738241981,358.41620715753083,,
Data_40_Salidas_composición_zonas_homogéneas.xlsx,local_beam_search,3.869114499999341,0.08333333333342807,358.4162071575306,358.3328738241972,,
Data_40_Salidas_composición_zonas_homogéneas.xlsx,brkga,5.241514700001062,0.0833333333332007,358.3328738241973,358.4162071575305,,
Data_60_Salidas_composición_zonas_homogéneas.xlsx,greedy,0.00037960000008752104,21.499999999999943,398.33287382419724,388.49954049086386,376.8328738241973,
Data_60_Salidas_composición_zonas_homogéneas.xlsx,grasp,0.09938559999864083,0.08333333333325754,387.91620715753055,387.9162071575305,387.8328738241973,
Data_60_Salidas_composición_zonas_homogéneas.xlsx,simulated_annealing,28.41914320000069,0.0833333333328028,387.83287382419746,387.91620715753027,387.91620715753015,
Data_60_Salidas_composición_zonas_homogéneas.xlsx,local_beam_search,10.273183900000731,0.08333333333337123,387.8328738241973,387.91620715753055,387.91620715753066,
Data_60_Salidas_composición_zonas_homogéneas.xlsx,brkga,12.205462000001717,0.16666666666662877,387.83287382419724,387.8328738241973,387.99954049086386,
Data_80_Salidas_composición_zonas_homogéneas.xlsx,greedy,0.0011713999992934987,14.416666666666686,368.83287382419724,377.5828738241973,381.08287382419724,366.66620715753055
Data_80_Salidas_composición_zonas_homogéneas.xlsx,grasp,0.2249407000017527,0.16666666666657193,373.4995404908639,373.499540490864,373.4995404908639,373.6662071575305
Data_80_Salidas_composición_zonas_homogéneas.xlsx,simulated_annealing,74.23321320000105,0.08333333333291648,373.4995404908641,373.4995404908639,373.5828738241967,373.58287382419684
Data_80_Salidas_composición_zonas_homogéneas.xlsx,local_beam_search,14.818959399999585,0.08333333333337123,373.58287382419724,373.499540490864,373.5828738241972,373.49954049086386
Data_80_Salidas_composición_zonas_homogéneas.xlsx,brkga,21.329182800000126,1.25,374.08287382419724,372.83287382419724,373.9995404908639,373.24954049086386
